x1,y1,x2,y2
nan,nan,182.135,242.503
nan,nan,180.247,239.310
nan,nan,178.436,235.961
nan,nan,176.473,232.651
nan,nan,174.772,229.783
nan,nan,173.054,226.796
nan,nan,171.823,222.944
nan,nan,170.095,215.605
nan,nan,163.594,209.748
nan,nan,146.720,170.347
nan,nan,150.943,167.883
nan,nan,161.148,199.849
nan,nan,158.895,194.464
nan,nan,157.568,183.590
nan,nan,159.190,177.481
nan,nan,162.800,171.827
nan,nan,165.545,167.241
nan,nan,167.954,163.693
nan,nan,169.333,162.168
nan,nan,172.544,158.718
nan,nan,177.156,153.933
nan,nan,180.177,149.757
nan,nan,184.551,143.368
nan,nan,189.605,137.210
585.855,35.705,194.103,131.580
584.839,49.292,197.653,127.926
596.198,58.469,201.391,124.171
602.680,63.882,205.038,120.344
602.021,65.866,208.063,116.968
601.398,61.246,210.588,114.191
618.299,79.310,212.684,111.533
596.193,55.133,225.835,98.349
nan,nan,227.035,96.769
591.832,52.415,228.965,94.641
588.702,49.540,231.227,91.694
576.524,35.023,234.746,88.627
577.007,36.474,237.037,85.867
nan,nan,238.432,83.653
nan,nan,240.947,80.933
nan,nan,242.542,79.088
nan,nan,243.174,77.463
nan,nan,244.631,75.584
nan,nan,246.033,73.768
nan,nan,247.078,72.417
nan,nan,249.722,69.272
nan,nan,252.391,68.177
nan,nan,251.222,69.105
466.793,8.131,253.574,66.631
462.058,8.344,258.316,65.843
450.105,8.568,278.811,57.802
439.778,8.736,287.239,58.731
430.019,8.844,295.560,60.092
422.609,8.890,307.335,60.830
409.755,9.458,314.456,62.401
nan,nan,329.203,65.228
nan,nan,333.879,67.477
nan,nan,338.786,69.024
nan,nan,343.480,70.229
nan,nan,348.669,72.020
nan,nan,356.888,75.870
nan,nan,360.705,76.459
nan,nan,365.476,77.432
nan,nan,369.565,78.783
nan,nan,374.991,80.353
nan,nan,378.306,81.546
nan,nan,381.920,82.423
nan,nan,385.679,83.376
nan,nan,390.982,84.430
nan,nan,394.370,85.272
nan,nan,399.117,86.593
nan,nan,402.639,87.652
nan,nan,407.256,89.052
nan,nan,410.702,89.831
nan,nan,414.293,90.973
nan,nan,416.529,92.409
nan,nan,419.919,93.665
nan,nan,422.482,94.389
nan,nan,424.735,94.936
nan,nan,428.226,96.056
nan,nan,430.451,96.817
nan,nan,432.606,98.112
nan,nan,434.726,99.033
nan,nan,438.186,100.662
nan,nan,440.706,101.844
nan,nan,442.767,102.992
nan,nan,445.469,104.391
nan,nan,448.210,105.542
nan,nan,451.973,107.171
nan,nan,453.367,107.713
nan,nan,459.015,109.870
nan,nan,463.318,111.537
nan,nan,467.885,112.991
nan,nan,473.040,112.282
nan,nan,485.685,112.102
130.281,169.107,491.037,113.776
133.433,173.984,495.669,113.814
135.852,179.737,503.053,109.655
138.358,183.231,516.598,98.982
140.590,187.130,512.476,94.935
142.444,189.824,506.934,90.832
143.569,193.107,501.030,87.051
144.684,196.376,496.148,83.736
144.942,200.230,490.700,79.926
145.614,201.592,485.717,76.350
144.510,206.946,481.819,74.128
142.848,216.413,478.245,72.155
nan,nan,474.695,70.388
nan,nan,471.496,68.929
nan,nan,467.858,66.690
nan,nan,464.844,65.410
nan,nan,461.179,63.360
nan,nan,457.650,60.854
nan,nan,454.622,59.403
nan,nan,453.498,59.135
nan,nan,451.471,58.363
147.124,296.542,449.187,57.614
163.698,298.499,447.234,56.985
171.449,303.960,445.666,57.555
nan,nan,434.204,47.396
153.409,352.140,428.978,39.584
161.675,360.317,379.631,22.543
163.211,368.144,377.727,25.862
168.691,373.509,373.193,28.568
178.256,375.864,365.813,31.611
182.484,378.147,357.529,34.490
185.684,378.649,333.140,41.122
181.037,385.503,325.959,44.043
177.806,388.854,319.358,46.201
179.571,389.863,313.125,48.617
182.592,388.212,306.533,51.146
183.382,387.350,300.117,53.708
183.161,387.013,293.931,56.267
180.982,384.356,288.198,58.368
172.252,385.567,282.232,61.030
178.020,383.772,276.198,63.803
186.599,384.095,271.313,66.202
191.316,382.777,265.497,69.333
196.777,382.301,259.943,72.471
200.844,381.303,254.717,75.766
204.292,380.298,249.894,78.437
207.090,379.647,245.121,81.197
208.122,378.650,240.572,83.790
213.133,378.526,236.295,86.567
218.513,379.399,221.916,96.962
217.239,379.570,219.092,98.761
209.254,379.459,215.995,100.561
202.575,379.315,212.359,102.509
201.706,379.999,211.734,102.635
194.216,377.597,212.583,102.584
189.442,373.833,210.070,105.283
180.735,367.150,205.621,109.561
182.813,366.519,196.927,118.470
171.607,356.016,185.558,131.697
170.288,352.967,184.577,138.772
168.954,350.112,184.460,144.039
167.561,347.634,184.734,148.124
166.682,345.464,185.627,151.974
168.899,347.544,187.145,156.622
168.460,345.793,189.043,160.878
161.763,337.170,192.859,166.106
163.938,337.546,194.866,169.772
156.673,330.560,204.658,187.433
146.095,319.770,205.093,189.676
145.963,315.690,207.917,192.476
140.449,305.983,209.412,194.510
134.231,295.310,212.680,197.352
132.836,289.326,214.868,199.799
128.826,280.270,215.132,201.660
124.312,271.528,218.711,204.350
121.792,264.385,221.651,207.744
119.347,255.403,224.228,210.717
118.569,247.414,222.566,210.792
112.560,222.366,224.493,212.862
113.084,217.853,226.501,215.139
113.953,213.263,245.910,239.403
114.796,208.518,247.481,240.992
114.851,202.840,234.740,222.328
105.714,173.480,236.971,225.023
106.491,169.608,251.391,246.024
107.069,165.973,249.931,247.273
108.123,162.701,251.514,249.196
108.272,158.814,255.103,251.466
108.930,155.949,256.700,253.241
109.529,153.408,257.848,254.859
109.963,151.366,259.139,256.517
111.090,150.517,257.070,253.925
112.189,149.488,260.682,255.649
113.082,148.884,267.301,259.220
113.694,147.426,272.491,260.929
114.104,144.977,281.706,262.776
114.577,142.614,288.299,264.240
115.145,139.712,293.589,265.301
115.928,138.346,298.259,266.166
125.527,144.276,307.098,269.003
135.127,150.206,315.938,271.841
144.726,156.136,324.778,274.679
154.326,162.066,333.618,277.516
143.911,110.332,336.762,279.880
155.153,113.046,342.879,281.227
nan,nan,349.150,282.351
nan,nan,352.646,282.968
nan,nan,358.525,283.936
nan,nan,365.145,284.826
155.664,108.105,369.916,285.722
161.534,109.885,374.759,286.312
161.084,112.682,381.539,287.226
163.606,113.417,386.879,287.859
167.743,112.842,392.524,288.603
170.846,112.978,398.858,289.393
172.148,113.676,403.613,290.183
169.883,116.957,409.634,290.927
156.918,128.496,414.186,291.662
173.920,110.093,419.303,292.844
140.055,145.748,425.345,294.112
139.933,151.705,430.578,295.111
137.745,160.914,435.969,295.656
136.036,170.948,437.380,295.598
nan,nan,447.028,296.289
132.612,203.243,448.845,295.620
nan,nan,456.456,295.163
133.116,237.103,476.889,296.256
nan,nan,484.524,294.210
nan,nan,493.146,292.008
nan,nan,503.422,289.358
nan,nan,514.706,286.638
nan,nan,521.493,285.310
nan,nan,530.691,283.499
nan,nan,537.980,282.042
nan,nan,545.349,280.495
nan,nan,554.003,278.733
nan,nan,560.958,276.985
nan,nan,572.132,272.070
nan,nan,580.840,270.133
134.020,310.931,597.888,266.147
136.644,316.992,604.778,265.242
140.051,322.707,612.555,263.957
nan,nan,616.279,263.312
nan,nan,621.530,262.087
nan,nan,625.186,260.800
132.529,369.830,630.149,259.896
147.554,353.410,635.207,259.151
150.288,357.051,639.870,258.287
150.991,363.696,642.646,257.507
136.757,388.715,648.138,256.750
138.866,400.225,652.457,256.197
147.764,407.896,657.742,255.034
154.087,418.728,662.243,254.342
154.598,430.386,666.977,253.200
153.820,439.592,671.546,252.907
146.461,453.461,676.085,251.795
148.370,460.498,680.949,251.024
138.984,484.084,685.360,250.077
152.030,485.556,689.528,249.377
156.203,494.093,693.045,248.578
150.117,502.006,696.439,247.842
148.959,511.003,700.678,246.773
152.287,516.765,703.969,246.049
155.299,519.461,708.359,244.858
154.920,521.231,711.686,244.030
157.122,519.832,715.995,243.328
147.983,523.057,719.926,242.656
151.991,518.852,721.680,242.569
156.443,516.591,727.310,242.251
157.366,516.280,743.634,238.189
159.111,515.175,746.885,238.094
